code,nom_de_l_etablissement,nb_mentions_ab_g,nb_mentions_b_g,nb_mentions_tb_g,nombre_eleves_segpa,nombre_eleves_ulis
0651004N,COLLEGE PRIVE PRADEAU-LA SEDE,25,43,21,0,0
0271286B,COLLEGE ALPHONSE ALLAIS,15,24,16,62,12
0311687R,COLLEGE LEON BLUM,23,30,36,0,16
9741088P,COLLEGE PRIVE MARTHE ROBIN,17,31,17,0,0
0623313P,COLLEGE LAVOISIER,28,17,16,0,0
0131704G,COLLEGE ARTHUR RIMBAUD,26,12,13,64,12
0920905J,COLLEGE PRIVE SAINT JOSEPH,26,72,98,0,0
0931223Z,COLLEGE GUSTAVE COURBET,34,36,29,46,24
0350033W,COLLEGE LES ORMEAUX,16,23,76,0,13
0595176F,COLLEGE RENAUD-BARRAULT,25,23,26,32,12
0331621H,COLLEGE HENRI DE NAVARRE,35,30,20,102,16
0221877W,COLLEGE PRIVE DIWAN,3,11,26,0,0
0500072G,COLLEGE BARBEY D'AUREVILLY,9,10,3,0,14
0221750H,COLLEGE PRIVE ST CHARLES LA PROVIDENCE,23,42,78,0,0
0772248A,COLLEGE GEORGE SAND,27,41,55,0,12
0312423R,COLLEGE FRANCOIS MITTERRAND,28,20,22,0,15
0381689E,COLLEGE PRIVE SAINT FRANCOIS,32,56,40,0,10
0572931B,COLLEGE PRIVE SAINT PIERRE CHANEL,25,71,221,0,0
9730020J,COLLEGE AUXENCE CONTOUT,33,33,28,92,34
0490843A,COLLEGE PRIVE SAINTE CECILE LA SALLE,21,19,6,0,0
0160012B,COLLEGE ALFRED DE VIGNY,12,8,12,0,0
0382582A,COLLEGE PRIVE JEANNE D'ARC,30,39,26,0,0
0541569M,COLLEGE JEAN MOULIN,31,37,29,0,0
0622097T,COLLEGE JEAN ROSTAND,6,12,6,0,0
0450840U,COLLEGE PAUL ELUARD,40,22,7,85,12
0490845C,COLLEGE PRIVE IMMACULEE CONCEPTION,17,19,17,0,0
0700787A,COLLEGE PIERRE ET MARIE CURIE,32,35,48,50,12
0220140H,COLLEGE PRIVE SAINTE ANNE-SAINT JOACHIM,12,21,4,0,0
0341388Z,COLLEGE MARCEL PAGNOL,42,38,47,62,12
0710033A,COLLEGE ROGER BOYER,11,10,22,0,0
0602004C,COLLEGE CONSTANT BOURGEOIS,28,8,21,0,0
0160863B,COLLEGE MAURICE GENEVOIX,20,19,17,0,0
0593168Y,COLLEGE INTERNATIONAL CARNOT,13,26,102,0,0
0141597K,COLLEGE FERNAND LECHANTEUR,24,29,39,91,0
0650877A,COLLEGE PRIVE PEYRAMALE SAINT-JOSEPH,23,39,46,0,13
0622091L,COLLEGE GEORGES BRASSENS,19,19,34,0,0
0590030M,COLLEGE DU SEPTENTRION,19,26,28,19,8
6200185G,COLLEGE PRIVE ST PAUL,17,20,22,0,0
0490858S,COLLEGE PRIVE ST JOSEPH,24,50,51,0,12
0690005F,COLLEGE DU VAL D'ARDIERES,16,12,19,0,11
0280034K,COLLEGE JEAN MACE,16,20,21,0,0
0922629H,COLLEGE JEAN MERMOZ,26,29,65,0,10
0694295U,COLLEGE ALICE GUY,26,17,7,0,0
0351881E,COLLEGE NOEL DU FAIL,32,56,53,0,0
0133986M,ETABLISSEMENT PRIVE IBN KHALDOUN,15,9,22,0,0
0500083U,COLLEGE LE DINANDIER,15,17,20,35,13
0601189S,COLLEGE JULES MICHELET,35,25,25,0,14
0740034K,COLLEGE HENRI CORBET,23,37,17,0,0
0850639H,COLLEGE JULES FERRY,26,51,35,43,0
0180777X,COLLEGE JEAN RENOIR,15,17,32,50,11
0594288R,COLLEGE LOUISE MICHEL,17,10,4,0,0
9720445B,COLLEGE HUBERT NERO,14,6,12,0,0
0880100F,COLLEGE PRIVE NOTRE DAME DE LA PROVIDENCE,12,10,23,0,13
0310035V,COLLEGE DES 3 VALLEES,32,28,29,0,10
0720804H,COLLEGE PRIVE ST JEAN,7,9,5,0,0
0850108F,COLLEGE PRIVE ST PAUL,37,33,23,0,0
0911143Y,COLLEGE ALEXANDRE FLEMING,21,28,65,0,0
0211452P,COLLEGE LA CROIX DES SARRASINS,44,40,37,58,9
0622575M,COLLEGE BLAISE PASCAL,17,21,18,0,0
0421741P,COLLEGE PRIVE TEZENAS DU MONTCEL,23,32,14,0,13
0595173C,COLLEGE WATTEAU,13,33,24,0,0
0931528F,COLLEGE PRIVE SAINT JOSEPH LA SALLE,23,60,34,33,11
0312698P,COLLEGE PAUL CEZANNE,13,26,47,0,11
0511144S,COLLEGE PRIVE ST JEAN BAPTISTE DE LA SALLE,17,26,28,0,0
0341364Y,COLLEGE GERARD PHILIPE,20,17,18,0,13
0830013N,COLLEGE LA FERRAGE,40,44,28,50,13
0692417C,COLLEGE BORIS VIAN,27,28,20,0,12
0930917S,COLLEGE PRIVE SAINT JOSEPH,9,17,51,0,0
0921179G,COLLEGE LEONARD DE VINCI,13,13,13,0,6
0700061L,COLLEGE PRIVE MENANS,4,5,5,0,0
0931713G,COLLEGE LAVOISIER,41,40,51,51,0
0790929F,COLLEGE RENE CAILLIE,17,19,22,0,0
0831197A,COLLEGE PRIVE FENELON,19,34,62,0,0
9730289B,COLLEGE PRIVE SAINT-PAUL,4,9,3,0,0
0451148D,COLLEGE PABLO PICASSO,24,22,24,0,12
0594872A,COLLEGE ROBERT LE FRISON,16,24,45,0,15
0311690U,COLLEGE FRANCOIS MITTERRAND,21,19,22,59,0
0721224P,COLLEGE LE MARIN,8,16,8,0,0
0670076U,COLLEGE ALBERT CAMUS,31,34,68,0,13
0720988H,COLLEGE SUZANNE BOUTELOUP,11,14,13,0,0
0921784P,COLLEGE LAKANAL,17,22,93,0,11
0761949F,COLLEGE FERNAND LEGER,16,14,11,0,12
0440289A,COLLEGE JEAN MOUNES,36,44,57,0,10
0594297A,COLLEGE VICTOR HUGO,11,15,8,34,13
0530063F,COLLEGE PRIVE NOTRE DAME,9,18,13,0,0
0542409A,COLLEGE PRIVE CHARLES DE FOUCAULD,8,9,13,0,12
0601432F,COLLEGE ABEL DIDELET,42,66,57,0,10
0410016V,COLLEGE RENE CASSIN,22,30,16,0,9
0870036S,COLLEGE FERNAND LAGRANGE,18,14,25,0,0
0382584C,COLLEGE PRIVE NOTRE DAME DES VICTOIRES,26,28,54,0,0
0550890U,COLLEGE RAYMOND POINCARE,17,17,25,0,7
0922020W,COLLEGE LES RENARDIERES,19,23,38,0,0
0592889V,COLLEGE PRIVE CHARLEMAGNE,16,56,87,0,0
0694296V,COLLEGE SIMONE LAGRANGE,18,17,7,0,0
0920998K,COLLEGE PRIVE SAINTE-MARIE,11,40,29,0,0
0410013S,COLLEGE LOUIS PASTEUR,14,14,15,0,10
0320013R,COLLEGE EDOUARD LARTET,17,21,24,0,15
9740645H,"COLLEGE ROBERT J, ARDON - MONTGAILLARD",43,36,40,63,12
0754004V,COLLEGE PRIVE SAINT-GEORGES,17,40,39,0,0
0594297A,COLLEGE VICTOR HUGO,16,15,4,34,13
0780269U,COLLEGE GUY DE MAUPASSANT,41,33,39,0,14
0260027N,COLLEGE BENJAMIN MALOSSANE,22,19,14,0,0
0831442S,COLLEGE HENRI MATISSE,34,38,75,0,10
0171184V,COLLEGE EUGENE FROMENTIN,26,70,102,0,12
0371101W,COLLEGE CELESTIN FREINET,14,21,24,63,12
0753938Y,COLLEGE GEORGES ROUAULT,18,17,19,0,0
0672302N,COLLEGE PRIVE SEMINAIRE DE JEUNES,31,43,23,0,0
0762564Z,COLLEGE PRIVE SAINT JOSEPH,31,80,124,0,0
0790091V,COLLEGE JULES SUPERVIELLE,33,44,39,0,14
0660065M,COLLEGE PRIVE NOTRE-DAME-DES-ANGES,20,38,18,48,0
0341277D,COLLEGE LES AIGUERELLES,25,25,46,54,9
0631731P,COLLEGE PRIVE FENELON,19,46,62,0,0
0820022D,COLLEGE INGRES,38,36,51,0,27
0781886B,COLLEGE CATHERINE DE VIVONNE,45,30,79,0,12
0670068K,COLLEGE HAUTE-BRUCHE,16,16,12,0,11
0090001C,COLLEGE MARIO BEULAYGUE,13,14,4,0,0
0840068T,COLLEGE PRIVE MARIE RIVIER,27,43,35,52,4
0672074R,COLLEGE DU RHIN,31,20,49,0,0
0623569T,COLLEGE PRIVE SAINT VAAST-SAINT DOMINIQUE,18,56,62,0,16
0550703R,COLLEGE ANDRE THEURIET,10,17,20,0,9
0730020A,COLLEGE DES BAUGES,6,14,8,0,0
0622268D,COLLEGE JEAN MOULIN,24,26,16,38,0
0753936W,COLLEGE GERMAINE TILLION,19,17,30,51,0
0830734X,COLLEGE JEAN MOULIN,28,17,18,72,22
0640609P,COLLEGE ALBERT CAMUS,26,22,26,55,13
0221542G,COLLEGE CHARLES BROCHEN,14,10,15,0,12
0400740M,COLLEGE D ALBRET,19,30,24,0,11
0830013N,COLLEGE LA FERRAGE,38,46,37,50,13
0121133S,COLLEGE JEAN MOULIN,10,33,17,56,10
0371397T,COLLEGE JEAN ROUX,23,37,52,0,0
0921157H,COLLEGE EDOUARD VAILLANT,46,40,37,0,10
0592896C,COLLEGE PRIVE SAINT JEAN,11,69,49,0,0
0332493F,COLLEGE PRIVE STE MARIE GRAND LEBRUN,7,51,188,0,13
0720070K,COLLEGE PIERRE REVERDY,21,25,23,0,0
0950793W,COLLEGE PRIVE STE JEANNE D ARC,22,48,43,0,0
0400105X,COLLEGE JACQUES PREVERT,19,42,37,0,6
0681366R,COLLEGE JEAN MOULIN,21,24,38,0,11
0332342S,COLLEGE CANTELANDE,38,48,76,0,0
0830019V,COLLEGE MARIE MAURON,30,38,37,0,0
0692693C,COLLEGE AMPERE,27,26,40,0,13
0491028B,COLLEGE MONTAIGNE,22,12,8,0,0
0594398K,COLLEGE ANNE FRANK,16,10,25,56,12
0550848Y,COLLEGE EMILIE CARLES,19,17,18,0,0
6200084X,COLLEGE DU STILETTU,32,40,52,0,0
0270001E,COLLEGE ROGER GAUDEAU,21,19,20,0,0
0710009Z,COLLEGE LOUISE MICHEL,38,51,36,0,13
0752936J,COLLEGE PRIVE L'ASSOMPTION,0,4,129,0,0
9730091L,COLLEGE PAUL KAPEL,34,29,26,0,26
0681659J,COLLEGE EPISCOPAL SAINT ANDRE,38,63,62,0,0
0753982W,COLLEGE PRIVE LA SALLE NOTRE-DAME DE LA GARE,22,35,55,0,0
0331885V,COLLEGE JEAN JAURES,24,33,43,55,14
0430854V,COLLEGE LA FAYETTE,16,21,25,0,28
0753982W,COLLEGE PRIVE LA SALLE NOTRE-DAME DE LA GARE,13,39,59,0,0
0211162Z,COLLEGE GASTON BACHELARD,11,12,23,59,18
0640231D,COLLEGE JEAN MOULIN,21,37,32,0,0
0622084D,COLLEGE PABLO NERUDA,24,22,44,41,13
0771172F,COLLEGE ALBERT CAMUS,25,23,21,53,0
0711071D,COLLEGE JEAN MOULIN,14,23,21,0,0
0500079P,COLLEGE ALBERT CAMUS,22,22,23,0,14
0011257L,COLLEGE DE LA DOMBES,27,32,54,0,11
0470008D,COLLEGE PAUL DANGLA,25,28,43,0,0
0620170Y,COLLEGE PAUL LANGEVIN,10,14,10,40,0
0611092F,COLLEGE PRIVE SAINT THOMAS D'AQUIN,27,33,31,0,8
0291639Z,COLLEGE PRIVE ST ANTOINE,25,29,16,0,0
0931227D,COLLEGE PASTEUR,16,30,57,0,14
0240037K,COLLEGE JULES FERRY,25,26,27,31,7
0771841H,COLLEGE LE LUZARD,26,15,24,0,16
0132208E,COLLEGE MARCEL PAGNOL,15,20,13,57,0
0251209D,COLLEGE ANATOLE FRANCE,18,14,15,0,0
0382579X,COLLEGE PRIVE RONDEAU MONTFLEURY EUROPE,21,30,86,0,9
0311584D,COLLEGE MARENGO,12,15,24,0,15
0671689X,COLLEGE ANDRE MALRAUX,30,28,37,0,9
0622576N,COLLEGE VAUBAN,12,15,14,48,12
0631121B,COLLEGE JEAN VILAR,37,26,26,0,26
0382495F,COLLEGE PLAN MENU,25,41,49,60,14
0400026L,COLLEGE ST EXUPERY,39,30,38,78,0
0440284V,COLLEGE STENDHAL,20,13,11,0,0
0771236A,COLLEGE PRIVE SAINTE THERESE,7,7,14,0,0
9740811N,COLLEGE TERRE SAINTE,19,31,33,60,14
0631773K,COLLEGE ROGER QUILLIOT,24,24,18,0,11
0511214T,COLLEGE TROIS FONTAINES,16,21,12,61,11
0291089B,COLLEGE LA FONTAINE MARGOT-KERANROUX,14,22,22,64,0
0911185U,COLLEGE PARC DE VILLEROY,75,68,57,65,14
0783156G,COLLEGE JEAN COCTEAU,15,25,57,0,12
0301282F,COLLEGE ELSA TRIOLET,36,11,27,52,10
0090009L,COLLEGE FRANCOIS VERDIER,16,31,23,0,0
0781618K,COLLEGE GUSTAVE COURBET,30,16,14,0,0
0572164T,COLLEGE PAUL VERLAINE,18,39,60,29,0
0951352D,COLLEGE SCHWEITZER,9,23,19,37,12
0141256P,COLLEGE GISELE GUILLEMOT,20,22,30,0,0
0691662G,COLLEGE CLEMENT MAROT,18,32,47,0,13
0332723F,COLLEGE EMILE DURKHEIM,44,40,23,0,13
